correct	entityFindRange	findAns	findTrueEntity	findTrueRelation	languageLength	numOfCandidateEntity	numOfEntityLinkings	topWitchEntitySelected	topWitchRelationSelected	trueEntityLength	useFulTop1Entity	useFulTop1Relation
0	1	1	0	0	7	4	10	0	1	3	1	0
1	0	1	1	1	7	2	1	0	0	1	1	1
0	1	1	0	0	9	4	87	2	0	2	0	1
1	0	1	1	1	5	2	19	0	0	1	1	1
1	0	1	1	1	6	5	4	0	0	2	1	1
1	0	1	1	1	7	5	1	0	0	2	1	1
1	0	1	1	1	7	4	1	0	0	2	1	1
1	0	1	1	1	7	4	1	0	0	2	1	1
0	1	1	1	0	13	5	43	0	0	2	1	1
1	0	1	1	1	8	4	2	0	0	2	1	1
0	0	1	1	0	11	4	1	0	0	2	1	1
0	1	1	0	1	10	3	147	0	2	3	1	0
1	0	1	1	1	9	8	1	0	0	5	1	1
0	0	1	0	0	10	7	10	3	1	4	0	0
1	0	1	1	1	5	2	35	0	0	1	1	1
0	1	1	1	0	5	5	1	0	0	2	1	1
0	0	1	0	1	6	3	6	2	0	1	0	1
1	0	1	1	1	6	4	1	0	0	2	1	1
1	0	1	1	1	7	5	2	1	0	2	0	1
1	0	1	1	1	7	1	1	0	0	2	1	1
1	0	1	1	1	7	5	2	0	0	2	1	1
1	1	1	1	1	8	4	1	2	0	1	0	1
0	0	1	1	0	7	4	7	0	0	2	1	1
1	0	1	1	1	6	4	1	0	0	2	1	1
1	0	1	1	1	10	4	3	0	0	2	1	1
1	0	1	1	1	7	4	1	0	0	2	1	1
1	1	1	1	1	11	4	3	0	0	2	1	1
1	0	1	1	1	9	3	1	0	0	2	1	1
1	0	1	1	1	8	4	1	0	0	3	1	1
1	1	1	1	1	7	4	1	0	0	3	1	1
1	1	1	1	1	9	6	1	0	0	3	1	1
0	1	0	0	1	9	3	6	0	0	5	1	1
1	0	1	1	1	6	6	1	0	0	3	1	1
1	0	1	1	1	6	5	1	0	0	2	1	1
0	1	1	0	0	12	3	6	0	0	3	1	1
0	0	1	1	0	7	4	1	0	2	2	1	0
0	1	0	0	0	8	3	9	0	0	1	1	1
1	0	1	1	1	11	3	2	0	0	2	1	1
1	0	1	1	1	7	6	1	0	0	3	1	1
0	1	1	1	0	7	5	1	0	3	3	1	0
0	1	1	0	0	11	7	7	0	0	7	1	1
1	0	1	1	1	6	4	1	0	0	2	1	1
1	0	1	1	1	8	6	2	0	0	2	1	1
1	1	1	1	1	5	3	12	1	0	1	0	1
1	0	1	1	1	9	7	1	0	0	3	1	1
1	0	1	1	1	6	10	565	0	0	4	1	1
1	0	1	1	1	9	4	4	0	0	2	1	1
0	1	1	0	0	5	3	10	0	0	1	1	1
0	1	1	0	0	6	5	2	0	2	1	1	0
1	0	1	1	1	11	7	3	0	0	4	1	1
0	0	1	0	0	7	2	25	0	2	1	1	0
0	1	1	1	0	6	5	1	0	0	3	1	1
1	0	1	1	1	7	4	41	0	0	2	1	1
1	0	1	1	1	8	3	11	0	0	1	1	1
1	0	1	1	1	9	7	1	0	0	5	1	1
1	0	1	1	1	11	4	1	0	0	2	1	1
1	0	1	1	1	8	2	1	0	2	2	1	0
1	0	1	1	1	6	1	2	0	1	1	1	0
0	1	1	0	1	10	5	18	0	0	3	1	1
0	1	1	0	0	9	5	12	0	0	4	1	1
1	0	1	1	1	9	2	18	0	0	1	1	1
1	0	1	1	1	7	4	1	0	2	2	1	0
0	0	0	1	0	6	2	2	0	0	2	1	1
1	0	1	1	1	9	3	1	0	0	2	1	1
0	1	0	0	1	9	6	1	0	0	2	1	1
0	0	1	1	0	7	3	1	0	0	2	1	1
1	1	1	1	1	9	6	1	0	0	2	1	1
0	0	1	0	1	7	6	6	0	0	3	1	1
1	1	1	1	1	8	3	84	1	0	1	0	1
0	1	1	0	1	8	3	10	0	3	2	1	0
0	1	0	0	1	14	5	6	0	0	8	1	1
1	0	1	1	1	7	4	2	0	0	2	1	1
1	1	1	1	1	8	2	2	0	0	2	1	1
1	0	1	1	1	8	4	1	0	0	2	1	1
1	0	1	1	1	7	2	106	0	0	1	1	1
0	0	1	0	0	4	3	254	0	0	3	1	1
0	0	1	1	0	5	3	28	0	0	1	1	1
1	0	1	1	1	7	3	123	0	0	1	1	1
1	1	1	1	1	10	6	391	0	0	3	1	1
1	0	1	1	1	6	4	1	0	0	2	1	1
0	1	1	0	0	9	3	17	0	2	5	1	0
1	0	1	1	1	6	3	1	0	0	2	1	1
0	1	1	0	1	11	4	14	0	0	5	1	1
0	0	1	1	0	7	3	2	0	0	2	1	1
1	0	1	1	1	5	5	1	0	0	2	1	1
0	0	1	1	0	7	4	72	0	1	2	1	0
1	0	1	1	1	7	4	1	0	0	2	1	1
1	1	1	1	1	8	3	3	1	0	1	0	1
0	1	1	0	0	13	15	3	0	0	8	1	1
1	0	1	1	1	6	3	6	0	0	2	1	1
1	1	1	1	1	6	3	54	1	0	1	0	1
1	0	1	1	1	8	6	3	0	0	3	1	1
0	1	0	0	0	10	4	27	0	0	5	1	1
0	0	0	0	1	6	1	6	0	0	1	1	1
1	0	1	1	1	10	6	1	0	0	4	1	1
1	0	1	1	1	6	4	57	0	0	2	1	1
1	1	1	1	1	7	4	1	0	0	2	1	1
0	0	0	1	0	10	6	3	0	0	3	1	1
1	0	1	1	1	7	4	3	0	0	2	1	1
1	0	1	1	1	8	4	2	0	0	3	1	1
0	1	1	0	0	11	7	14	6	0	1	0	1
1	0	1	1	1	6	1	1	0	0	1	1	1
1	1	1	1	1	10	4	2	0	0	2	1	1
1	0	1	1	1	6	4	2	0	0	2	1	1
1	0	1	1	1	6	3	210	0	0	1	1	1
0	0	0	1	0	6	5	1	0	0	2	1	1
0	1	0	0	0	8	3	10	0	0	2	1	1
1	0	1	1	1	8	3	1	0	0	2	1	1
0	1	0	0	1	10	3	1	0	0	5	1	1
1	0	1	1	1	8	4	4	0	0	2	1	1
1	0	1	1	1	6	1	2	0	0	1	1	1
0	0	1	0	1	7	3	8	0	0	2	1	1
0	1	1	0	1	9	3	79	1	0	3	0	1
1	0	1	1	1	9	3	1	0	0	2	1	1
1	0	1	1	1	6	4	1	0	0	2	1	1
1	0	1	1	1	5	4	1	0	0	2	1	1
1	0	1	1	1	11	5	1	0	0	4	1	1
1	0	1	1	1	6	2	8	0	0	1	1	1
1	0	1	1	1	7	4	1	0	0	2	1	1
0	1	0	0	1	7	2	10	0	0	2	1	1
0	1	1	0	0	10	7	28	3	0	6	0	1
1	0	1	1	1	6	3	1	0	0	2	1	1
1	0	1	1	1	4	3	1	0	3	2	1	0
0	1	1	1	0	7	7	1	0	0	3	1	1
0	0	1	1	0	7	4	1	0	0	2	1	1
0	1	1	0	1	9	4	2	0	0	1	1	1
1	0	1	1	1	10	6	1	0	0	3	1	1
0	1	1	0	1	7	2	10	0	0	2	1	1
0	1	1	0	0	13	6	6	0	3	8	1	0
1	0	1	1	1	8	6	3	0	1	3	1	0
1	0	1	1	1	6	3	1	0	0	2	1	1
1	0	1	1	1	6	3	1	0	0	4	1	1
1	0	1	1	1	8	5	1	0	0	2	1	1
1	0	1	1	1	7	5	258	0	0	2	1	1
0	0	1	0	1	7	4	134	0	0	2	1	1
0	1	1	0	1	7	4	14	1	1	1	0	0
1	0	1	1	1	5	4	361	0	0	2	1	1
1	0	1	1	1	8	4	48	0	0	2	1	1
0	0	0	0	1	9	1	6	0	0	1	1	1
1	0	1	1	1	7	5	2	0	0	2	1	1
0	0	1	1	0	5	3	1	0	0	2	1	1
1	0	1	1	1	7	3	1	0	0	2	1	1
1	0	1	1	1	8	4	2	0	0	2	1	1
1	0	1	1	1	5	5	1	0	0	2	1	1
0	1	1	0	0	8	4	16	2	2	2	0	0
1	0	1	1	1	5	4	148	0	0	2	1	1
0	1	1	0	0	7	5	17	2	0	2	0	1
0	0	1	1	0	10	4	3	0	0	2	1	1
1	1	1	1	1	12	8	1	0	1	5	1	0
0	0	1	1	0	8	6	1	0	0	3	1	1
1	0	1	1	1	8	5	4	0	0	2	1	1
1	0	1	1	1	8	6	1	0	0	3	1	1
1	0	1	1	1	7	5	4	0	0	2	1	1
1	0	1	1	1	7	3	1	0	1	2	1	0
0	1	1	0	1	10	4	25	0	0	1	1	1
